Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
3.0,60.0,1.0,68.0,11250.0,1.0,0.0,3.0,0.0,4.0,0.0,3.0,2.0,0.0,0.0,2.0,7.0,5.0,2001.0,2002.0,0.0,1.0,7.0,9.0,1.0,162.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,486.0,5.0,0.0,434.0,920.0,0.0,0.0,0.0,1.0,920.0,866.0,0.0,1786.0,1.0,0.0,2.0,1.0,3.0,1.0,2.0,6.0,5.0,1.0,4.0,1.0,2001.0,1.0,2.0,608.0,1.0,1.0,1.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,9.0,2008.0,5.0,3.0,223500.0
7.0,20.0,1.0,75.0,10084.0,1.0,3.0,3.0,0.0,4.0,0.0,16.0,2.0,0.0,0.0,1.0,8.0,5.0,2004.0,2005.0,0.0,1.0,7.0,9.0,2.0,186.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,1369.0,5.0,0.0,317.0,1686.0,0.0,0.0,0.0,1.0,1694.0,0.0,0.0,1694.0,1.0,0.0,2.0,0.0,3.0,1.0,2.0,7.0,5.0,1.0,2.0,1.0,2004.0,1.0,2.0,636.0,1.0,1.0,1.0,255.0,57.0,0.0,0.0,0.0,0.0,0.0,8.0,2007.0,5.0,3.0,307000.0
23.0,20.0,1.0,75.0,9742.0,1.0,3.0,3.0,0.0,4.0,0.0,3.0,2.0,0.0,0.0,1.0,8.0,5.0,2002.0,2002.0,1.0,1.0,7.0,9.0,1.0,281.0,1.0,1.0,2.0,2.0,2.0,3.0,5.0,0.0,5.0,0.0,1777.0,1777.0,0.0,0.0,0.0,1.0,1795.0,0.0,0.0,1795.0,0.0,0.0,2.0,0.0,3.0,1.0,2.0,7.0,5.0,1.0,2.0,1.0,2002.0,1.0,2.0,534.0,1.0,1.0,1.0,171.0,159.0,0.0,0.0,0.0,0.0,0.0,9.0,2008.0,5.0,3.0,230000.0
38.0,20.0,1.0,74.0,8532.0,1.0,3.0,3.0,0.0,4.0,0.0,8.0,2.0,0.0,0.0,1.0,5.0,6.0,1954.0,1990.0,1.0,1.0,8.0,10.0,1.0,650.0,2.0,1.0,1.0,3.0,2.0,3.0,4.0,1213.0,5.0,0.0,84.0,1297.0,0.0,2.0,0.0,1.0,1297.0,0.0,0.0,1297.0,0.0,1.0,1.0,0.0,3.0,1.0,3.0,5.0,5.0,1.0,4.0,1.0,1954.0,0.0,2.0,498.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2009.0,5.0,3.0,153000.0
63.0,120.0,1.0,44.0,6442.0,1.0,0.0,3.0,0.0,4.0,0.0,11.0,2.0,0.0,4.0,1.0,8.0,5.0,2006.0,2006.0,0.0,1.0,7.0,9.0,2.0,178.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,24.0,5.0,0.0,1346.0,1370.0,0.0,0.0,0.0,1.0,1370.0,0.0,0.0,1370.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,6.0,5.0,1.0,2.0,1.0,2006.0,1.0,2.0,484.0,1.0,1.0,1.0,120.0,49.0,0.0,0.0,0.0,0.0,0.0,10.0,2007.0,5.0,3.0,202500.0
225.0,20.0,1.0,103.0,13472.0,1.0,3.0,3.0,0.0,4.0,0.0,11.0,2.0,0.0,0.0,1.0,10.0,5.0,2003.0,2003.0,1.0,1.0,7.0,9.0,1.0,922.0,0.0,1.0,2.0,0.0,2.0,1.0,2.0,56.0,5.0,0.0,2336.0,2392.0,0.0,0.0,0.0,1.0,2392.0,0.0,0.0,2392.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,8.0,5.0,1.0,0.0,1.0,2003.0,0.0,3.0,968.0,1.0,1.0,1.0,248.0,105.0,0.0,0.0,0.0,0.0,0.0,6.0,2009.0,5.0,3.0,386250.0
246.0,20.0,1.0,80.0,10400.0,1.0,3.0,3.0,0.0,4.0,0.0,9.0,2.0,0.0,0.0,1.0,7.0,5.0,1988.0,1988.0,0.0,1.0,8.0,10.0,1.0,102.0,2.0,1.0,1.0,2.0,2.0,0.0,2.0,929.0,5.0,0.0,916.0,1845.0,0.0,2.0,0.0,1.0,1872.0,0.0,0.0,1872.0,0.0,1.0,2.0,0.0,3.0,1.0,3.0,6.0,5.0,1.0,4.0,1.0,1988.0,0.0,2.0,604.0,1.0,1.0,1.0,197.0,39.0,0.0,0.0,0.0,0.0,0.0,6.0,2006.0,5.0,3.0,241500.0
274.0,20.0,1.0,80.0,9600.0,1.0,3.0,3.0,0.0,4.0,0.0,8.0,1.0,0.0,0.0,1.0,6.0,6.0,1958.0,1988.0,1.0,1.0,8.0,10.0,0.0,183.0,2.0,1.0,1.0,3.0,2.0,3.0,4.0,620.0,3.0,620.0,0.0,1240.0,0.0,2.0,0.0,1.0,1632.0,0.0,0.0,1632.0,1.0,0.0,2.0,0.0,3.0,1.0,3.0,6.0,2.0,1.0,2.0,1.0,1958.0,1.0,1.0,338.0,1.0,1.0,1.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2009.0,5.0,3.0,139000.0
301.0,190.0,1.0,90.0,15750.0,1.0,3.0,3.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,1.0,5.0,5.0,1953.0,1953.0,1.0,1.0,4.0,5.0,1.0,56.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,841.0,5.0,0.0,324.0,1165.0,0.0,3.0,0.0,1.0,1336.0,0.0,0.0,1336.0,1.0,0.0,1.0,0.0,2.0,1.0,3.0,5.0,5.0,2.0,2.0,1.0,1953.0,2.0,1.0,375.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2006.0,5.0,3.0,157000.0
337.0,20.0,1.0,86.0,14157.0,1.0,0.0,1.0,0.0,0.0,0.0,17.0,2.0,0.0,0.0,1.0,9.0,5.0,2005.0,2006.0,1.0,1.0,7.0,9.0,2.0,200.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,1249.0,5.0,0.0,673.0,1922.0,0.0,0.0,0.0,1.0,1922.0,0.0,0.0,1922.0,1.0,0.0,2.0,0.0,3.0,1.0,2.0,8.0,5.0,1.0,2.0,1.0,2005.0,0.0,3.0,676.0,1.0,1.0,1.0,178.0,51.0,0.0,0.0,0.0,0.0,0.0,7.0,2007.0,5.0,3.0,377426.0
